CRITICAL - 2023-10-02 20:31:59 - 85521 - Server up  - __main__ - 11
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - get unanswered question with id 8 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:32:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:53 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:53 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:53 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:54 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:54 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:54 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:54 - 85521 - added correct for question with 8 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - get unanswered question with id 11 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - added correct for question with 11 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - get unanswered question with id 14 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:33:10 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:10 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:10 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:10 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:10 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:10 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:10 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:10 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:10 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:10 - 85521 - added correct for question with 14 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:33:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:13 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:13 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:13 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:13 - 85521 - get unanswered question with id 17 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:33:17 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:17 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:17 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:17 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:17 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:17 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:17 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:17 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:33 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:33 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:33 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:33 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:33 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:33 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:36 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:36 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:36 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:36 - 85521 - retrieve stats for user 183249817 from db  - core.DataBase.DataBase - 117
INFO - 2023-10-02 20:34:08 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:08 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:08 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:08 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:11 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:11 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:11 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:11 - 85521 - retrieve stats for user 697676633 from db  - core.DataBase.DataBase - 117
INFO - 2023-10-02 20:34:16 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:16 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:16 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:16 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:16 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:16 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:20 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:20 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:20 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:20 - 85521 - get unanswered question with id 3 from db for user 697676633  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:34:26 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:26 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:26 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:26 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:26 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:26 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:26 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:26 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:27 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:27 - 85521 - added correct for question with 3 for user 697676633 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:34:31 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:31 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:31 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:31 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:31 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:31 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:31 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:31 - 85521 - get unanswered question with id 6 from db for user 697676633  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:34:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:47 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:47 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:47 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:47 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:53 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:53 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:53 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:53 - 85521 - get unanswered question with id 6 from db for user 697676633  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:34:56 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:56 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:34:56 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:56 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:34:56 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:56 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:57 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:34:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:34:57 - 85521 - added correct for question with 6 for user 697676633 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:35:01 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:01 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:01 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:01 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:01 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:01 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:01 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:01 - 85521 - get unanswered question with id 1 from db for user 697676633  - core.DataBase.DataBase - 65
